Name,Native language ,Primary homeland,Majority religion and sect
Tiv,"Niger–Congo, Atlantic-Congo, Tivoid, Tiv",Nigeria,Christianity
Tiwa,"Sino-Tibetan, Sal, Bodo-Garo, Tiwa",India ,Hinduism
Toraja,"Austronesian, Sunda–Sulawesi, Toraja",Indonesia ,Christianity
Toubou,"Nilo-Saharan, Saharan, Tebu ",Toubouland ,"Islam, Sunni Islam"
Tsonga,"Niger–Congo, Bantu, Tswa-Ronga, Tsonga","Mozambique, South Africa",Traditional African religions
Tswana,"Niger–Congo, Bantu, Sotho-Tswana, Tswana","South Tswanaland, Botswana",Christianity
Turkana,"Nilo-Saharan, Nilotic, Eastern Nilotic, Turkana",Turkanaland,"Christianity, Catholicism"
Turkmens,"Turkic, Oghuz, Turkmen",Turkmenistan,"Islam, Sunni Islam"
Turks,"Turkic, Oghuz, Turkish","Turkey, Northern Cyprus","Islam, Sunni Islam"
Tutsi,"Niger–Congo, Atlantic–Congo, Bantu, Rwanda-Rundi ","Rwanda, Burundi, Kivu ","Christianity, Islam"
Tuvans,"Turkic, Siberian, Tuvan",Tuva ,"Buddhism, Tibetan Buddhism"
Twa,"Niger–Congo, Atlantic–Congo, Bantu, Rwanda-Rundi ","Rwanda, Burundi, Kivu ",Traditional African religions
Udmurts,"Uralic, Permic, Udmurt",Udmurtia ,"Christianity, Eastern Orthodox"
Ukrainians,"Indo-European, Slavic, East Slavic, Ukrainian",Ukraine,"Christianity, Eastern Orthodox"
Uyghurs,"Turkic, Karluk, Uyghur",Uyghuristan,"Islam, Sunni Islam"
Uzbeks,"Turkic, Karluk, Uzbek","Afghanistan, Tajikistan, Uzbekistan","Islam, Sunni Islam"
Venda,"Niger–Congo, Atlantic–Congo, Bantu, Tshivenda",Vendaland ,"Christianity, Traditional African religions"
Vietnamese,"Austroasiatic, Vietic, Vietnamese",Vietnam,"Buddhism, Mahayana, Vietnamese folk religion"
Wa,"Austroasiatic, Palaungic, Waic, Wa",Wa State,"Buddhism, Animism"
Welayta,"Afroasiatic, Omotic, Ometo, Wolayitta",Wolayitia,Christianity
Welsh,"Indo-European, Celtic, Brittonic, Welsh ",Wales ,"Christianity, Protestantism"
Wolof,"Niger–Congo, Atlantic–Congo, Senegambian, Wolof",Senegambia ,"Islam, Sunni Islam"
Xhosa,"Niger–Congo, Bantu, Nguni, Xhosa",Xhosaland ,"Christianity, Traditional African religions"
Yakuts,"Turkic, Siberian Turkic, Yakut",Yakutia ,"Christianity, Eastern Orthodox"
Yoruba,"Niger–Congo, Volta-Niger, Edekiri, Yoruba",Yorubaland,"Christianity, Islam"
Zaghawa,"Nilo-Saharan, Saharan, Zaghawa",Chad,"Islam, Sunni Islam"
Zande,"Niger–Congo, Zande","Democratic Republic of the Congo, Central African Republic, South Sudan",Christianity
Zapotec,"Oto-Manguean, Zapotecan ",Oaxaca ,"Christianity, Catholicism"
Zhuang,"Kra–Dai, Tai, Zhuang ",Zhuangia ,Moism
Zulu,"Niger–Congo, Bantu, Nguni, Zulu",KwaZulu-Natal,"Christianity, Traditional African religions"
